id,title,category1,category2,url,image_url,created_at,updated_at
266,"허벅지와 엉덩이 근육을 강화시켜주는 동작, 홍주연의 Lower body split 1편",musle,,/watch?v=hHRdw8RLCXg,https://i.ytimg.com/vi/hHRdw8RLCXg/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLBgRQtOH2kkGNoHaVpIiqITGqj8fA,2017-07-09 06:30:34.893038,2017-07-09 06:41:27.674378
267,탄탄한 허벅지로 거듭나는 3분 근력운동,musle,,/watch?v=xwlBQQ6Ud_0,https://i.ytimg.com/vi/xwlBQQ6Ud_0/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLDojpC-S__E9aFLvkmIpbJFNZRAjA,2017-07-09 06:30:46.172274,2017-07-09 06:41:28.041909
268,"단기간 허벅지살 빼는 최고의 운동 BEST5 (집에서 하는 다리살빼는운동, 하체 비만 다이어트 운동, 하체운 동, 허벅지 운동)",musle,,/watch?v=NZpvaLfBeJE,https://i.ytimg.com/vi/NZpvaLfBeJE/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLDx6D5N9kYh8SdLv3snzxYbYz6Dkw,2017-07-09 06:30:46.176252,2017-07-09 06:41:28.729678
269,이상대 1분 니트운동 -종아리얇고튼튼하게만들기,musle,,/watch?v=mlEs8TtRROo,https://i.ytimg.com/vi/mlEs8TtRROo/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLDNOKTd5_dbR60CWJk51cubQM1ITw,2017-07-09 06:30:46.178951,2017-07-09 06:41:29.264744
270,[하체운동] 허벅지 엉덩이 살빼는 운동,musle,,/watch?v=E3BR2u_PH9o,https://i.ytimg.com/vi/E3BR2u_PH9o/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLBiP0gX-i9BenHeaNX0Q21XmtqTUg,2017-07-09 06:30:46.181559,2017-07-09 06:41:29.634066
271,[머신운동/허벅지/대퇴이두근] 탄탄한 허벅지를 위한 라잉 레그 컬(Lying Leg Curl),musle,,/watch?v=4ypb4cp9j3Q,https://i.ytimg.com/vi/4ypb4cp9j3Q/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLA9aJiNnqX1oSCDac4_DmUTawQHTA,2017-07-09 06:30:46.184347,2017-07-09 06:41:30.208160
272,헬스장 가지 않고 하는 전신 운동 - 두꺼운 허벅지 근육 줄이는 방법,musle,,/watch?v=CjugG6z4F54,https://i.ytimg.com/vi/CjugG6z4F54/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLDg4EVTQFsVKYKo-iNZP_M_ARmZPA,2017-07-09 06:30:57.838574,2017-07-09 06:41:30.576335
273,허벅지 안쪽살빼는 운동 #겟다이어팅윗미 #같이운동해요 - 씬스틸러(THIN Stealer),musle,,/watch?v=LVfQ4hOxWXQ,https://i.ytimg.com/vi/LVfQ4hOxWXQ/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLCt7WJZNCnaq1wukWJg-7a2wacblg,2017-07-09 06:30:57.842588,2017-07-09 06:41:30.953244
274,집에서 허벅지 안쪽살 빼기,musle,,/watch?v=tFAWbbOkjq8,https://i.ytimg.com/vi/tFAWbbOkjq8/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAYU2rZJQk5kr-XvHRJOVTy0FzbDA,2017-07-09 06:30:57.845398,2017-07-09 06:41:31.314295
275,[운동루틴] 하루 5분재미어트 하체운동 프로그램 [힘콩],musle,,/watch?v=0zaMWkoM3uA,https://i.ytimg.com/vi/0zaMWkoM3uA/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLCE0bm9oVOMSoukO6Xi5IAJXSrj9Q,2017-07-09 06:30:57.848491,2017-07-09 06:41:31.687748
276,삼두운동 남자헬스운동순서 팔뚝굵어지는법은?,musle,,/watch?v=v_hC11pmUfI,https://i.ytimg.com/vi/v_hC11pmUfI/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLBJO5Ck-iU-NpNl8PQaZhTnYhARyw,2017-07-09 06:30:57.852765,2017-07-09 06:41:32.071739
277,다리와 둔근 (엉덩이 근육) 을 위한 완벽한 운동,musle,,/watch?v=B3RI3Rkfmnk,https://i.ytimg.com/vi/B3RI3Rkfmnk/hqdefault.jpg?sqp=-oaymwEXCPYBEIoBSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAjF1uOtYAbHnboysGgc8Smlut9sw,2017-07-09 06:30:57.855967,2017-07-09 06:41:32.455971
